"","latitude","longitde","value_per_area","units_1"
"1",-46.617,139.667,"          160.0","mg/m2"
"2",-47.967,139.4,"          120.0","mg/m2"
"3",-50.883,140.1,"          120.0","mg/m2"
"4",-51.95,139.733,"          420.0","mg/m2"
"5",-55.033,138.7,"         9800.0","mg/m2"
"6",-56.217,138.233,"        23200.0","mg/m2"
"7",-59.417,136.4,"        10460.0","mg/m2"
"8",-60.583,136,"        19080.0","mg/m2"
"9",-64,134.85,"         6200.0","mg/m2"
"10",-64.45,126.2,"         9680.0","mg/m2"
"11",-64.333,115.217,"         1640.0","mg/m2"
"12",-64.45,138.25,"        12640.0","mg/m2"
"13",-64.7,143.533,"         4480.0","mg/m2"
"14",-64.717,148.9,"         1300.0","mg/m2"
"15",-64.75,149.867,"          800.0","mg/m2"
"16",-65.467,157.783,"         1240.0","mg/m2"
"17",-66.65,158.283,"          380.0","mg/m2"
"18",-65.75,157.5,"         2200.0","mg/m2"
"19",-62.567,157.8,"        11000.0","mg/m2"
"20",-61.2,158.417,"        38000.0","mg/m2"
"21",-51.583,156,"         2660.0","mg/m2"
"22",-38.033,149.133,"       3700.000","mg/m2"
"23",-38.05,150.233,"       8800.000","mg/m2"
"24",-38.283,151.967,"       3000.000","mg/m2"
"25",-39.833,148.767,"       2700.000","mg/m2"
"26",-39.1,150.933,"       1172000.","mg/m2"
"27",-42.167,148.633,"       1200.000","mg/m2"
"28",-41.983,149.833,"       200.0000","mg/m2"
"29",-43.217,149.55,"         51100.","mg/m2"
"30",-43.2,149.767,"         10800.","mg/m2"
"31",-41.45,149.483,"       1000.000","mg/m2"
"32",-41.017,148.683,"       7200.000","mg/m2"
"33",-40,148.85,"         10000.","mg/m2"
"34",-38.95,149.1,"       2600.000","mg/m2"
"35",-38,149.4,"         14100.","mg/m2"
"36",-38.083,150.383,"       2200.000","mg/m2"
"37",-37.967,150.083,"       2800.000","mg/m2"
"38",-37.967,150.083,"       2600.000","mg/m2"
"39",-38.067,151.95,"       800.0000","mg/m2"
"40",-38.067,151.95,"        800.000","mg/m2"
"41",-38.367,153.117,"       2000.000","mg/m2"
"42",-38.367,153.117,"       2100.000","mg/m2"
"43",-39.167,154.2,"       2500.000","mg/m2"
"44",-39.167,154.2,"       1600.000","mg/m2"
"45",-39.85,153.067,"        420.000","mg/m2"
"46",-39.85,153.067,"       800.0000","mg/m2"
"47",-39.65,151.7,"       7700.000","mg/m2"
"48",-39.65,151.7,"       2200.000","mg/m2"
