latitude,longitude
-8.4606,119.562
8.82333,97.7962
8.82333,97.7962
8.59509,97.6354
7.15942,98.8313
3.98627,72.7663
4.01059,72.8933
19.652935,-155.511475
3.902661,73.473473
-23.12952,113.746819
7.15942,98.8313
27.2256,33.8977
27.2674,33.8879
33.7624,-84.3946
-8.77099,115.488
7.11912,134.268
12.4885,123.903
12.4885,123.903
-8.278,115.597
19.6374,-156.011
33.7634,-84.395
8.82333,97.7962
8.70896,97.7023
19.237262,-110.984778
7.1461,98.824
3.98627,72.7663
-8.73458,115.451
-0.637322,130.495
7.15942,98.8313
-8.77516,115.49
-0.56699,-90.143
-0.56699,-90.143
20.691,-156.444
-8.35826,116.023
25.73365,-79.27943
25.73365,-79.27943
-8.75412,115.472
-8.80484,115.535
3.16566,72.9752
26.7962,33.9925
-8.80484,115.535
19.6463,-156.018
-8.80484,115.535
7.1461,98.824
27.9149,34.3524
27.9159,34.3578
27.9159,34.3578
-8.43434,119.509
12,98
19.7337,-156.058
27.539,33.7773
12.5818,-70.072
4.27948,73.5549
-21.7863,114.181
19.5429,-155.666
22.9042,36.2627
-8.35826,116.023
-14.672,145.441
-8.77516,115.49
-8.35826,116.023
-8.35826,116.023
19.6406,-155.996
19.6406,-155.996
19.6463,-156.018
19.6406,-155.996
-8.60369,115.48
27.6127,-17.9893
19.6463,-156.018
6.17511,73.135
9.75491,-84.8918
25.789,-80.2264
8.70527,-83.8818
7.57897,98.34
33.7634,-84.395
19.6463,-156.018
18.4204,-64.5616
4.25343,73.553
3.20278,73.2207
-3.050139,1.350139
1.316806,-17.666805
7.966806,-21.916805
-0.764636,-90.333677
27.8325,-80.438333
-20,55
27.5,-112
42.233,3.183
40.667,-73.833
0,0
0,0
9.166667,97.78333
1.920009,73.230508
-3.784582,-80.532979
18.76658,-110.919742
30.289003,-87.183204
27.804929,-80.443241
-0.575183,-90.256476
-0.6434,-81.858
-1.0962,-81.6489
-0.3353,-81.9843
-0.3405,-81.9796
-0.1958,-81.8312
-0.2399,-82.094
-3.3789,-81.2499
-2.9872,-81.0821
-3.165,-81.1142
-0.5964,-81.1898
-1.9998,-81.2264
-0.9752,-81.2341
-1.9932,-81.3748
-2.0252,-81.5184
-1.8365,-81.8342
-2.3061,-81.2756
-1.2852,-81.6133
-2.2549,-81.2931
-2.1049,-81.6696
-1.9851,-81.7202
-3.5698,-80.6839
-1.2642,-81.0885
-0.4549,-80.6592
-3.2693,-80.8515
-3.1525,-80.7818
-0.4676,-80.4671
-1.259,-81.0754
-1.2653,-81.0845
-1.7175,-81.1749
-1.2467,-81.0557
-1.698,-81.152
-3.5493,-80.9233
-3.7221,-80.9739
-3.1292,-80.8699
-3.7377,-80.9485
-3.6035,-80.8673
-3.2708,-80.9132
-3.3735,-80.931
-3.2343,-81.0093
-0.8933,-81.1444
