"occurrenceStatus","geometry"
"ABSENT",c(91.4250003389187, 15.3249991069008)
"ABSENT",c(-140.425005164904, 22.7249990441528)
"ABSENT",c(-5.12500195305475, -23.225000566216)
"ABSENT",c(62.274999646935, -23.4250005645201)
"ABSENT",c(119.325001001229, -7.57500069891953)
"ABSENT",c(121.325001048706, -13.975000644651)
"ABSENT",c(121.175001045146, -4.32500072647778)
"ABSENT",c(-141.075005180334, -40.2750004216412)
"ABSENT",c(-108.575004408825, -26.4250005390817)
"ABSENT",c(-63.3750033358352, 37.1249989220486)
"ABSENT",c(176.725002363832, -16.9750006192126)
"ABSENT",c(-104.57500431387, 3.02499921119819)
"ABSENT",c(-99.7250041987377, -23.7250005619762)
"ABSENT",c(-6.07500197560654, -39.8250004254569)
"ABSENT",c(160.42500197689, -28.0250005255146)
"ABSENT",c(96.8750004682947, -19.4250005984379)
"ABSENT",c(-132.97500498805, 32.4749989614781)
"ABSENT",c(-35.5750026758988, -23.8250005611283)
"ABSENT",c(142.97500156265, 1.57499922349341)
"ABSENT",c(-34.8750026592817, 36.1749989301041)
"ABSENT",c(-96.2250041156522, -14.6250006391393)
"ABSENT",c(159.875001963834, -18.7750006039496)
"ABSENT",c(-142.675005218316, -30.8250005017721)
"ABSENT",c(-87.8250039162469, -22.4750005725756)
"ABSENT",c(-157.725005575583, -22.3250005738475)
"ABSENT",c(13.4249984872985, 38.2249989127212)
"ABSENT",c(-162.425005687155, 30.8249989754692)
"ABSENT",c(-110.525004455116, 7.27499917516048)
"ABSENT",c(163.625002052854, 10.5249991476022)
"ABSENT",c(1.02499819293837, -22.7750005700317)
"ABSENT",c(-170.475005878252, 15.2249991077488)
"ABSENT",c(-177.52500604561, -35.4750004623426)
"ABSENT",c(-104.42500431031, -27.6750005284824)
"ABSENT",c(-163.025005701399, 29.1749989894603)
"ABSENT",c(147.575001671848, 9.17499915904951)
"ABSENT",c(-53.6750031055696, 30.7249989763171)
"ABSENT",c(-37.4750027210023, 40.6249988923705)
"ABSENT",c(-86.4750038841996, -7.62500069849556)
"ABSENT",c(112.325000835058, -17.775000612429)
"ABSENT",c(-50.1250030212971, 22.6749990445768)
"ABSENT",c(133.325001333571, 24.7749990267699)
"ABSENT",c(-157.575005572023, 32.0749989648699)
"ABSENT",c(-11.925002114478, -38.3750004377521)
"ABSENT",c(-169.425005853326, -17.675000613277)
"ABSENT",c(164.625002076593, -37.0750004487755)
"ABSENT",c(-110.62500445749, -39.4750004284247)
"ABSENT",c(67.1249997620678, 6.77499917940021)
"ABSENT",c(167.275002139501, 5.37499919127146)
"ABSENT",c(-155.475005522171, -35.5750004614946)
"ABSENT",c(53.9749994499036, 24.974999025074)
"ABSENT",c(150.175001733568, 16.7749990946056)
"ABSENT",c(162.575002027929, -33.6250004780296)
"ABSENT",c(0.174998172760468, -35.5750004614946)
"ABSENT",c(-98.8250041773728, -22.1250005755434)
"ABSENT",c(-14.275002170264, 35.7249989339198)
"ABSENT",c(176.42500235671, 23.2249990399131)
"ABSENT",c(-99.7250041987377, -2.875000738773)
"ABSENT",c(125.875001156718, 0.37499923366876)
"ABSENT",c(-30.4250025536444, 36.2749989292561)
"ABSENT",c(117.725000963247, 16.4749990971494)
"ABSENT",c(-137.475005094874, 31.3749989708055)
"ABSENT",c(103.025000614288, -15.775000629388)
"ABSENT",c(107.425000718738, -23.7750005615523)
"ABSENT",c(94.9250004220042, -13.3250006501626)
"ABSENT",c(150.075001731195, 3.77499920483859)
"ABSENT",c(74.3249999329866, 2.42499921628586)
"ABSENT",c(-116.875004605857, -3.17500073622916)
"ABSENT",c(-153.725005480629, 27.5249990034514)
"ABSENT",c(6.32499831875359, 2.02499921967765)
"ABSENT",c(0.124998171573537, 3.92499920356667)
"ABSENT",c(-129.025004894282, 27.1249990068432)
"ABSENT",c(-45.9250029215945, -25.2250005492571)
"ABSENT",c(-132.925004986863, -17.625000613701)
"ABSENT",c(18.3249986036182, -37.0750004487755)
"ABSENT",c(157.725001912796, 36.9249989237445)
"ABSENT",c(160.225001972143, 11.6749991378509)
"ABSENT",c(167.275002139501, 34.4249989449431)
"ABSENT",c(-149.025005369057, -1.2250007527641)
"ABSENT",c(-160.22500563493, 22.2249990483925)
"ABSENT",c(65.4749997228989, -3.02500073750108)
"ABSENT",c(110.725000797076, -38.3250004381761)
"ABSENT",c(-34.4250026485992, 29.1249989898843)
"ABSENT",c(-130.375004926329, -29.2750005149152)
"ABSENT",c(-3.97500192575521, -2.77500073962094)
"ABSENT",c(-128.725004887161, -2.875000738773)
"ABSENT",c(80.0750000694842, 9.17499915904951)
"ABSENT",c(-173.675005954216, -39.8250004254569)
"ABSENT",c(-102.675004268767, 5.22499919254337)
"ABSENT",c(-176.975006032554, 5.52499918999953)
"ABSENT",c(-120.525004692503, 32.5249989610541)
"ABSENT",c(-36.175002690142, -31.2750004979563)
"ABSENT",c(-141.62500519339, -35.8750004589508)
"ABSENT",c(-77.3750036681773, 25.6749990191384)
"ABSENT",c(-154.625005501993, 27.8749990004836)
"ABSENT",c(104.975000660578, -17.8750006115811)
"ABSENT",c(-76.4250036456255, -35.9750004581029)
"ABSENT",c(135.375001382235, 9.12499915947348)
"ABSENT",c(-123.775004769654, -0.025000762939456)
"ABSENT",c(54.8249994700815, -19.2750005997098)
"ABSENT",c(-106.825004367283, 3.57499920653449)
"ABSENT",c(36.4249990332891, -32.9250004839652)
"ABSENT",c(76.8749999935203, -29.7250005110995)
"ABSENT",c(125.225001141287, -5.37500071757434)
"ABSENT",c(154.175001828523, -26.7750005361139)
"ABSENT",c(-93.8750040598662, -25.7750005445934)
"ABSENT",c(98.275000501529, -23.6750005624002)
"ABSENT",c(-178.075006058666, 9.42499915692964)
"ABSENT",c(-153.675005479442, 40.9249988898266)
"ABSENT",c(152.725001794102, -11.6250006645777)
"ABSENT",c(168.025002157305, 25.9249990170185)
"ABSENT",c(-38.525002745928, -15.3250006332037)
"ABSENT",c(97.0750004730425, 0.0249992366365674)
"ABSENT",c(69.5249998190407, 2.27499921755778)
"ABSENT",c(169.925002202408, -37.1750004479275)
"ABSENT",c(-36.6250027008244, 9.07499915989745)
"ABSENT",c(-116.925004607044, -35.8250004593748)
"ABSENT",c(-30.2750025500836, 28.7749989928521)
"ABSENT",c(146.525001646922, 22.8749990428809)
"ABSENT",c(-92.9750040385013, -25.7250005450173)
"ABSENT",c(174.575002312793, 18.3249990814624)
"ABSENT",c(96.5750004611731, 12.2749991327632)
"ABSENT",c(-40.5750027945924, -20.9250005857187)
"ABSENT",c(168.075002158492, 27.8249990009076)
"ABSENT",c(-36.4750026972636, -36.8750004504713)
"ABSENT",c(109.725000773337, -36.8250004508953)
"ABSENT",c(-30.4750025548313, -2.42500074258876)
"ABSENT",c(156.375001880749, -28.875000518307)
"ABSENT",c(125.125001138914, 13.9249991187721)
"ABSENT",c(79.4250000540541, -28.6250005204269)
"ABSENT",c(140.825001511611, 28.0749989987877)
"ABSENT",c(-108.675004411199, -12.7250006552503)
"ABSENT",c(-54.2750031198129, 38.6749989089054)
"ABSENT",c(142.275001546033, 10.2749991497221)
"ABSENT",c(-89.5250039566027, -38.4250004373282)
"ABSENT",c(-84.7250038426569, -19.1750006005578)
"ABSENT",c(-86.8750038936951, -2.3250007434367)
"ABSENT",c(-64.8250033702563, 33.0249989568144)
"ABSENT",c(-73.725003581531, 34.6249989432472)
"ABSENT",c(141.075001517546, 2.07499921925368)
"ABSENT",c(-32.8750026118042, -35.1750004648864)
"ABSENT",c(123.725001105679, 23.9749990335535)
"ABSENT",c(169.675002196474, -39.1250004313926)
"ABSENT",c(29.3249988647442, -38.125000439872)
"ABSENT",c(-78.7250037002245, 19.7249990695912)
"ABSENT",c(-150.125005395169, 33.1749989555425)
"ABSENT",c(-30.5250025560183, 42.8249988737157)
"ABSENT",c(-92.9250040373144, -15.4250006323558)
"ABSENT",c(-114.225004542949, 4.7249991967831)
"ABSENT",c(162.075002016059, -40.3750004207932)
"ABSENT",c(-34.6750026545339, -8.12500069425583)
"ABSENT",c(165.725002102706, -16.2750006251482)
"ABSENT",c(-74.0750035898395, -18.9250006026777)
"ABSENT",c(157.725001912796, -5.27500071842229)
"ABSENT",c(-138.475005118613, 20.4749990632316)
"ABSENT",c(48.224999313406, -25.7750005445934)
"ABSENT",c(133.775001344253, 10.4749991480262)
"ABSENT",c(152.92500179885, -40.5250004195213)
"ABSENT",c(-165.025005748876, -0.62500075785178)
