"","geometry"
"1",c(-8.4606, 119.562)
"2",c(8.82333, 97.7962)
"3",c(8.82333, 97.7962)
"4",c(8.59509, 97.6354)
"5",c(7.15942, 98.8313)
"6",c(3.98627, 72.7663)
"7",c(4.01059, 72.8933)
"8",c(19.652935, -155.511475)
"9",c(3.902661, 73.473473)
"10",c(-23.12952, 113.746819)
"11",c(7.15942, 98.8313)
"12",c(27.2256, 33.8977)
"13",c(27.2674, 33.8879)
"14",c(33.7624, -84.3946)
"15",c(-8.77099, 115.488)
"16",c(7.11912, 134.268)
"17",c(12.4885, 123.903)
"18",c(12.4885, 123.903)
"19",c(-8.278, 115.597)
"20",c(19.6374, -156.011)
"21",c(33.7634, -84.395)
"22",c(8.82333, 97.7962)
"23",c(8.70896, 97.7023)
"24",c(19.237262, -110.984778)
"25",c(7.1461, 98.824)
"26",c(3.98627, 72.7663)
"27",c(-8.73458, 115.451)
"28",c(-0.637322, 130.495)
"29",c(7.15942, 98.8313)
"30",c(-8.77516, 115.49)
"31",c(-0.56699, -90.143)
"32",c(-0.56699, -90.143)
"33",c(20.691, -156.444)
"34",c(-8.35826, 116.023)
"35",c(25.73365, -79.27943)
"36",c(25.73365, -79.27943)
"37",c(-8.75412, 115.472)
"38",c(-8.80484, 115.535)
"39",c(3.16566, 72.9752)
"40",c(26.7962, 33.9925)
"41",c(-8.80484, 115.535)
"42",c(19.6463, -156.018)
"43",c(-8.80484, 115.535)
"44",c(7.1461, 98.824)
"45",c(27.9149, 34.3524)
"46",c(27.9159, 34.3578)
"47",c(27.9159, 34.3578)
"48",c(-8.43434, 119.509)
"49",c(12, 98)
"50",c(19.7337, -156.058)
"51",c(27.539, 33.7773)
"52",c(12.5818, -70.072)
"53",c(4.27948, 73.5549)
"54",c(-21.7863, 114.181)
"55",c(19.5429, -155.666)
"56",c(22.9042, 36.2627)
"57",c(-8.35826, 116.023)
"58",c(-14.672, 145.441)
"59",c(-8.77516, 115.49)
"60",c(-8.35826, 116.023)
"61",c(-8.35826, 116.023)
"62",c(19.6406, -155.996)
"63",c(19.6406, -155.996)
"64",c(19.6463, -156.018)
"65",c(19.6406, -155.996)
"66",c(-8.60369, 115.48)
"67",c(27.6127, -17.9893)
"68",c(19.6463, -156.018)
"69",c(6.17511, 73.135)
"70",c(9.75491, -84.8918)
"71",c(25.789, -80.2264)
"72",c(8.70527, -83.8818)
"73",c(7.57897, 98.34)
"74",c(33.7634, -84.395)
"75",c(19.6463, -156.018)
"76",c(18.4204, -64.5616)
"77",c(4.25343, 73.553)
"78",c(3.20278, 73.2207)
"79",c(-3.050139, 1.350139)
"80",c(1.316806, -17.666805)
"81",c(7.966806, -21.916805)
"82",c(-0.764636, -90.333677)
"83",c(27.8325, -80.438333)
"84",c(-20, 55)
"85",c(27.5, -112)
"86",c(42.233, 3.183)
"87",c(40.667, -73.833)
"88",c(0, 0)
"89",c(0, 0)
"90",c(9.166667, 97.78333)
"91",c(1.920009, 73.230508)
"92",c(-3.784582, -80.532979)
"93",c(18.76658, -110.919742)
"94",c(30.289003, -87.183204)
"95",c(27.804929, -80.443241)
"96",c(-0.575183, -90.256476)
"97",c(-0.6434, -81.858)
"98",c(-1.0962, -81.6489)
"99",c(-0.3353, -81.9843)
"100",c(-0.3405, -81.9796)
"101",c(-0.1958, -81.8312)
"102",c(-0.2399, -82.094)
"103",c(-3.3789, -81.2499)
"104",c(-2.9872, -81.0821)
"105",c(-3.165, -81.1142)
"106",c(-0.5964, -81.1898)
"107",c(-1.9998, -81.2264)
"108",c(-0.9752, -81.2341)
"109",c(-1.9932, -81.3748)
"110",c(-2.0252, -81.5184)
"111",c(-1.8365, -81.8342)
"112",c(-2.3061, -81.2756)
"113",c(-1.2852, -81.6133)
"114",c(-2.2549, -81.2931)
"115",c(-2.1049, -81.6696)
"116",c(-1.9851, -81.7202)
"117",c(-3.5698, -80.6839)
"118",c(-1.2642, -81.0885)
"119",c(-0.4549, -80.6592)
"120",c(-3.2693, -80.8515)
"121",c(-3.1525, -80.7818)
"122",c(-0.4676, -80.4671)
"123",c(-1.259, -81.0754)
"124",c(-1.2653, -81.0845)
"125",c(-1.7175, -81.1749)
"126",c(-1.2467, -81.0557)
"127",c(-1.698, -81.152)
"128",c(-3.5493, -80.9233)
"129",c(-3.7221, -80.9739)
"130",c(-3.1292, -80.8699)
"131",c(-3.7377, -80.9485)
"132",c(-3.6035, -80.8673)
"133",c(-3.2708, -80.9132)
"134",c(-3.3735, -80.931)
"135",c(-3.2343, -81.0093)
"136",c(-0.8933, -81.1444)
"137",c(-0.8238, -80.7961)
"138",c(-3.7116, -81.1858)
"139",c(-2.9867, -80.9889)
"140",c(-3.0081, -80.9278)
"141",c(-3.5663, -81.183)
"142",c(-2.4881, -81.1298)
"143",c(-1.0609, -81.832)
"144",c(-2.706, -81.0905)
"145",c(-2.6754, -81.1034)
